Arkansas,Crawford,5033,3392,0.32
Arkansas,Crittenden,5035,1359,0.444
Arkansas,Cross,5037,972,0.401
Arkansas,Dallas,5039,163,0.372
Arkansas,Desha,5041,234,0.531
Arkansas,Drew,5043,795,0.366
Arkansas,Faulkner,5045,5078,0.272
Arkansas,Franklin,5047,1229,0.369
Arkansas,Fulton,5049,651,0.47
Arkansas,Garland,5051,5538,0.352
Arkansas,Grant,5053,1010,0.312
Arkansas,Greene,5055,2103,0.351
Arkansas,Hempstead,5057,821,0.339
Arkansas,Hot Spring,5059,1597,0.373
Arkansas,Howard,5061,559,0.345
Arkansas,Independence,5063,2077,0.349
Arkansas,Izard,5065,873,0.42
Arkansas,Jackson,5067,711,0.43
Arkansas,Jefferson,5069,1490,0.394
Arkansas,Johnson,5071,1338,0.397
Arkansas,Lafayette,5073,334,0.42
Arkansas,Lawrence,5075,445,0.358
Arkansas,Lee,5077,349,0.527
Arkansas,Lincoln,5079,581,0.436
Arkansas,Little River,5081,521,0.388
Arkansas,Logan,5083,1208,0.365
Arkansas,Lonoke,5085,3826,0.325
Arkansas,Madison,5087,671,0.384
Arkansas,Marion,5089,1581,0.431
Arkansas,Miller,5091,2425,0.347
Arkansas,Mississippi,5093,1575,0.426
Arkansas,Monroe,5095,173,0.413
Arkansas,Montgomery,5097,672,0.416
Arkansas,Nevada,5099,232,0.338
Arkansas,Newton,5101,1073,0.385
Arkansas,Ouachita,5103,1006,0.367
Arkansas,Perry,5105,522,0.363
Arkansas,Phillips,5107,363,0.566
Arkansas,Pike,5109,511,0.339
Arkansas,Poinsett,5111,1036,0.385
Arkansas,Polk,5113,1895,0.403
Arkansas,Pope,5115,3073,0.321
Arkansas,Prairie,5117,326,0.297
Arkansas,Pulaski,5119,11840,0.256
Arkansas,Randolph,5121,735,0.37
Arkansas,Saint Francis,5123,598,0.413
Arkansas,Saline,5125,6934,0.306
Arkansas,Scott,5127,715,0.427
Arkansas,Searcy,5129,939,0.39
Arkansas,Sebastian,5131,6030,0.323
Arkansas,Sevier,5133,593,0.382
Arkansas,Sharp,5135,1241,0.419
Arkansas,Stone,5137,993,0.392
Arkansas,Union,5139,1188,0.352
Arkansas,Van Buren,5141,1198,0.375
Arkansas,Washington,5143,7968,0.275
Arkansas,White,5145,4074,0.316
Arkansas,Woodruff,5147,130,0.442
Arkansas,Yell,5149,911,0.376
California,Alameda,6001,19951,0.669
California,Alpine,6003,122,0.803
California,Amador,6005,3605,0.817
California,Butte,6007,15695,0.804
California,Calaveras,6009,4902,0.83
California,Colusa,6011,1342,0.834
California,Contra Costa,6013,28612,0.704
California,Del Norte,6015,1536,0.786
California,El Dorado,6017,17651,0.795
California,Fresno,6019,37672,0.773
California,Glenn,6021,1699,0.803
California,Humboldt,6023,4613,0.732
California,Imperial,6025,2222,0.729
California,Inyo,6027,1414,0.791
California,Kern,6029,33838,0.779
California,Kings,6031,7046,0.803
California,Lake,6033,2261,0.788
California,Lassen,6035,2508,0.838
California,Los Angeles,6037,179130,0.698
California,Madera,6039,8247,0.788
California,Marin,6041,6409,0.663
California,Mariposa,6043,1940,0.776
California,Mendocino,6045,1769,0.772
California,Merced,6047,6712,0.792
California,Modoc,6049,1019,0.837
California,Mono,6051,830,0.741
California,Monterey,6053,8079,0.708
California,Napa,6055,4000,0.73
California,Nevada,6057,7628,0.805
California,Orange,6059,146888,0.767
California,Placer,6061,25700,0.789
California,Plumas,6063,2588,0.818
California,Riverside,6065,82814,0.82
California,Sacramento,6067,43099,0.746
California,San Benito,6069,1455,0.76
California,San Bernardino,6071,69186,0.797
California,San Diego,6073,124255,0.784
California,San Francisco,6075,7244,0.613
California,San Joaquin,6077,22042,0.78
California,San Luis Obispo,6079,19313,0.755
California,San Mateo,6081,12984,0.683
